"County","date","Absentee Applications","Ballots Reported Sent","Ballots Reported Returned","In-Person Absentee Ballots","reg_voter","total_est","vap_est","cvap_est","oneday_absentee_app","oneday_ballot_sent","oneday_ballot_returned","oneday_absentee_person","oneday_absentee_app_prop","oneday_ballot_sent_prop","oneday_ballot_returned_prop","oneday_absentee_person_prop","week","oneweek_absentee_app.x","ooneweek_ballot_sent","oneweek_ballot_returned","oneweek_absentee_person","oneweek_absentee_app.y","lag.value","oneweek_absentee_app_prop","prop_reg_absentee_applied","prop_reg_absentee_person","prop_vap_reg","prop_cvap_reg","prop_ballot_sent","prop_ballot_returned","prop_reg_absentee_applied_wk","prop_reg_absentee_person_wk","prop_ballot_sent_wk","prop_ballot_returned_wk","total_absentee_requests"
"ADAMS COUNTY",2020-09-01,2174,NA,NA,NA,12451,20075,17110,16875,0,0,0,0,NA,NA,NA,NA,1,64,NA,NA,NA,64,NA,NA,0.17,NA,0.73,0.74,NA,NA,0.17,NA,NA,NA,2066233
"ADAMS COUNTY",2020-09-02,2191,NA,NA,NA,12451,20075,17110,16875,17,NA,NA,NA,0.0078196872125115,NA,NA,NA,1,64,NA,NA,NA,64,NA,NA,0.18,NA,0.73,0.74,NA,NA,0.18,NA,NA,NA,2066233
"ADAMS COUNTY",2020-09-03,2221,NA,NA,NA,12451,20075,17110,16875,30,NA,NA,NA,0.0136923779096303,NA,NA,NA,1,64,NA,NA,NA,64,NA,NA,0.18,NA,0.73,0.74,NA,NA,0.18,NA,NA,NA,2066233
"ADAMS COUNTY",2020-09-04,2238,NA,NA,NA,12451,20075,17110,16875,17,NA,NA,NA,0.00765420981539847,NA,NA,NA,1,64,NA,NA,NA,64,NA,NA,0.18,NA,0.73,0.74,NA,NA,0.18,NA,NA,NA,2066233
"ADAMS COUNTY",2020-09-07,2238,NA,NA,NA,12451,20075,17110,16875,0,NA,NA,NA,0,NA,NA,NA,2,62,NA,NA,NA,62,64,-0.03125,0.18,NA,0.73,0.74,NA,NA,0.18,NA,NA,NA,2066233
"ADAMS COUNTY",2020-09-08,2238,NA,NA,NA,12451,20075,17110,16875,0,NA,NA,NA,0,NA,NA,NA,2,62,NA,NA,NA,62,64,-0.03125,0.18,NA,0.73,0.74,NA,NA,0.18,NA,NA,NA,2066233
"ADAMS COUNTY",2020-09-09,2262,NA,NA,NA,12451,20075,17110,16875,24,NA,NA,NA,0.0107238605898123,NA,NA,NA,2,62,NA,NA,NA,62,64,-0.03125,0.18,NA,0.73,0.74,NA,NA,0.18,NA,NA,NA,2066233
"ADAMS COUNTY",2020-09-10,2278,NA,NA,NA,12451,20075,17110,16875,16,NA,NA,NA,0.00707338638373121,NA,NA,NA,2,62,NA,NA,NA,62,64,-0.03125,0.18,NA,0.73,0.74,NA,NA,0.18,NA,NA,NA,2066233
"ADAMS COUNTY",2020-09-11,2293,NA,NA,NA,12451,20075,17110,16875,15,NA,NA,NA,0.00658472344161545,NA,NA,NA,2,62,NA,NA,NA,62,64,-0.03125,0.18,NA,0.73,0.74,NA,NA,0.18,NA,NA,NA,2066233
"ADAMS COUNTY",2020-09-12,2300,NA,NA,NA,12451,20075,17110,16875,7,NA,NA,NA,0.00305276929786306,NA,NA,NA,2,62,NA,NA,NA,62,64,-0.03125,0.18,NA,0.73,0.74,NA,NA,0.18,NA,NA,NA,2066233
"ADAMS COUNTY",2020-09-14,2305,NA,NA,NA,12451,20075,17110,16875,5,NA,NA,NA,0.00217391304347826,NA,NA,NA,3,230,NA,NA,NA,230,62,2.70967741935484,0.19,NA,0.73,0.74,NA,NA,0.19,NA,NA,NA,2066233
"ADAMS COUNTY",2020-09-15,2343,NA,NA,NA,12451,20075,17110,16875,38,NA,NA,NA,0.0164859002169197,NA,NA,NA,3,230,NA,NA,NA,230,62,2.70967741935484,0.19,NA,0.73,0.74,NA,NA,0.19,NA,NA,NA,2066233
"ADAMS COUNTY",2020-09-16,2407,NA,NA,NA,12451,20075,17110,16875,64,NA,NA,NA,0.0273154075970977,NA,NA,NA,3,230,NA,NA,NA,230,62,2.70967741935484,0.19,NA,0.73,0.74,NA,NA,0.19,NA,NA,NA,2066233
"ADAMS COUNTY",2020-09-17,2473,1424,0,NA,12451,20075,17110,16875,66,NA,NA,NA,0.0274200249272954,NA,NA,NA,3,230,NA,NA,NA,230,62,2.70967741935484,0.2,NA,0.73,0.74,0.58,0,0.2,NA,0.58,0,2066233
"ADAMS COUNTY",2020-09-18,2511,1755,0,NA,12451,20075,17110,16875,38,331,0,NA,0.0153659522846745,0.232443820224719,NA,NA,3,230,NA,NA,NA,230,62,2.70967741935484,0.2,NA,0.73,0.74,0.7,0,0.2,NA,0.7,0,2066233
"ADAMS COUNTY",2020-09-19,2530,2022,2,NA,12451,20075,17110,16875,19,267,2,NA,0.00756670649143767,0.152136752136752,Inf,NA,3,230,NA,NA,NA,230,62,2.70967741935484,0.2,NA,0.73,0.74,0.8,0,0.2,NA,0.8,0,2066233
"ADAMS COUNTY",2020-09-21,2538,2022,2,NA,12451,20075,17110,16875,8,0,0,NA,0.00316205533596838,0,0,NA,4,223,264,484,NA,223,230,-0.0304347826086957,0.2,NA,0.73,0.74,0.8,0,0.2,NA,0.8,0,2066233
"ADAMS COUNTY",2020-09-22,2572,2057,57,NA,12451,20075,17110,16875,34,35,55,NA,0.0133963750985028,0.0173095944609298,27.5,NA,4,223,264,484,NA,223,230,-0.0304347826086957,0.21,NA,0.73,0.74,0.8,0.02,0.21,NA,0.8,0.02,2066233
"ADAMS COUNTY",2020-09-23,2640,2138,107,NA,12451,20075,17110,16875,68,81,50,NA,0.0264385692068429,0.0393777345649003,0.87719298245614,NA,4,223,264,484,NA,223,230,-0.0304347826086957,0.21,NA,0.73,0.74,0.81,0.04,0.21,NA,0.81,0.04,2066233
"ADAMS COUNTY",2020-09-24,2706,2242,277,NA,12451,20075,17110,16875,66,104,170,NA,0.025,0.048643592142189,1.58878504672897,NA,4,223,264,484,NA,223,230,-0.0304347826086957,0.22,NA,0.73,0.74,0.83,0.1,0.22,NA,0.83,0.1,2066233
"ADAMS COUNTY",2020-09-25,2734,2270,345,NA,12451,20075,17110,16875,28,28,68,NA,0.0103473762010347,0.0124888492417484,0.245487364620939,NA,4,223,264,484,NA,223,230,-0.0304347826086957,0.22,NA,0.73,0.74,0.83,0.13,0.22,NA,0.83,0.13,2066233
"ADAMS COUNTY",2020-09-26,2752,2286,482,NA,12451,20075,17110,16875,18,16,137,NA,0.00658376005852231,0.00704845814977974,0.397101449275362,NA,4,223,264,484,NA,223,230,-0.0304347826086957,0.22,NA,0.73,0.74,0.83,0.18,0.22,NA,0.83,0.18,2066233
"ADAMS COUNTY",2020-09-27,2753,2286,486,NA,12451,20075,17110,16875,1,0,4,NA,0.000363372093023256,0,0.00829875518672199,NA,4,223,264,484,NA,223,230,-0.0304347826086957,0.22,NA,0.73,0.74,0.83,0.18,0.22,NA,0.83,0.18,2066233
"ADAMS COUNTY",2020-09-28,2773,2356,537,NA,12451,20075,17110,16875,20,70,51,NA,0.00726480203414457,0.0306211723534558,0.104938271604938,NA,5,325,458,596,NA,325,223,0.457399103139013,0.22,NA,0.73,0.74,0.85,0.19,0.22,NA,0.85,0.19,2066233
"ADAMS COUNTY",2020-09-29,2845,2497,736,NA,12451,20075,17110,16875,72,141,199,NA,0.0259646592138478,0.0598471986417657,0.370577281191806,NA,5,325,458,596,NA,325,223,0.457399103139013,0.23,NA,0.73,0.74,0.88,0.26,0.23,NA,0.88,0.26,2066233
"ADAMS COUNTY",2020-09-30,2918,2583,748,NA,12451,20075,17110,16875,73,86,12,NA,0.0256590509666081,0.0344413295955146,0.016304347826087,NA,5,325,458,596,NA,325,223,0.457399103139013,0.23,NA,0.73,0.74,0.89,0.26,0.23,NA,0.89,0.26,2066233
"ADAMS COUNTY",2020-10-01,2988,2692,812,NA,12451,20075,17110,16875,70,109,64,NA,0.023989033584647,0.0421989934185056,0.0855614973262032,NA,5,325,458,596,NA,325,223,0.457399103139013,0.24,NA,0.73,0.74,0.9,0.27,0.24,NA,0.9,0.27,2066233
"ADAMS COUNTY",2020-10-02,3012,2710,909,NA,12451,20075,17110,16875,24,18,97,NA,0.00803212851405622,0.00668647845468053,0.119458128078818,NA,5,325,458,596,NA,325,223,0.457399103139013,0.24,NA,0.73,0.74,0.9,0.3,0.24,NA,0.9,0.3,2066233
"ADAMS COUNTY",2020-10-03,3076,2744,1076,NA,12451,20075,17110,16875,64,34,167,NA,0.0212483399734396,0.0125461254612546,0.183718371837184,NA,5,325,458,596,NA,325,223,0.457399103139013,0.25,NA,0.73,0.74,0.89,0.35,0.25,NA,0.89,0.35,2066233
"ADAMS COUNTY",2020-10-04,3078,2744,1082,NA,12451,20075,17110,16875,2,0,6,NA,0.000650195058517555,0,0.00557620817843866,NA,5,325,458,596,NA,325,223,0.457399103139013,0.25,NA,0.73,0.74,0.89,0.35,0.25,NA,0.89,0.35,2066233
